clause_text,clause_type,document_type,risk_label,legal_basis,jurisdiction
The appointment of the staff member is subject to verification of documents and may be revised by the management.,Appointment,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
It is hereby agreed that the financial institution may alter the interest rate at any time without prior notice to the Borrower.,Interest Rate,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the Lessee shall pay a security deposit of Rs. 75000/- which shall be refunded within 90 days of vacating the premises, subject to deduction for damages beyond normal wear and tear.",Security Deposit,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that repayment terms of 11 months are subject to change by the Lender with reasonable notice.,Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the Lender agrees to disburse a loan amount of Rs. 1000000/- to the loan recipient as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, repair costs shall be assessed jointly by the Lessor and the Tenant before being apportioned.",Repairs,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the Lender may alter repayment terms, including tenure and amount, without prior notice to the Borrower.",Repayment,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, management may ask a resident to vacate with less than 60 days notice for any reason.",Notice Period,Hostel/PG Agreement,Risky,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"For the purposes of this Agreement, this Agreement may be terminated by the Lessor on breach of any term, subject to a 20-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Borrower waives any objection concerning collateral. Clause 366.,Collateral,Loan Agreement,Risky,"Transfer of Property Act, 1882",India
"For the purposes of this Agreement, the appointee agrees not to join a direct competitor in the same role for 6 months post-employment within the same city.",Non-Compete,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
Disputes shall be resolved through arbitration at a location chosen solely by the company.,Dispute Resolution,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Subject to the terms herein, a refundable security deposit of Rs. 20000/- shall be collected and returned within 30 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"For the purposes of this Agreement, the security deposit of Rs. 50000/- paid by the Tenant shall be non-refundable under any circumstances.",Security Deposit,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, the staff member is appointed to the stated role effective from the date of joining, as confirmed in writing by the Company.",Appointment,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, the Borrower shall repay the loan in equal monthly instalments over 11 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the rent of Rs. 30000/- may be revised by the Lessor after 6 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, utility charges shall be shared between the Landlord and the occupant in a ratio to be determined at move-in.",Utilities,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, a refundable security deposit of Rs. 40000/- shall be collected and returned within 90 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"As per the terms of this Agreement, rent of Rs. 18000/- may be revised by the hostel/PG management with 20 days notice.",Rent Payment,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, the Lessor may impose any renewal terms unilaterally, including rent increases exceeding 20%.",Renewal,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, the property owner may terminate this Agreement immediately and without cause at sole discretion.",Termination,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, the notice period for termination shall be 7 days, extendable at the discretion of the Landlord.",Notice Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Lender may alter terms relating to amendment without prior notice. Clause 75.,Amendment,Loan Agreement,Risky,"Indian Contract Act, 1872",India
"As per the terms of this Agreement, the monthly EMI shall be calculated on Rs. 50000/- at 9% interest, fixed for the loan tenure.",EMI,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, the Employer may withhold or delay salary payment of Rs. 18000/- without prior communication to the staff member.",Salary,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"The monthly EMI shall be calculated on Rs. 3000000/- at 10.5% interest, fixed for the loan tenure.",EMI,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, failure to pay rent of Rs. 12000/- within 60 days shall entitle the Lessor to lock the premises without notice.",Rent Payment,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that minor repairs up to Rs. 3500/- shall be borne by the occupant; major repairs shall be borne by the property owner.,Repairs,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, late payment beyond 10 days shall attract a charge of 1% per month on the overdue amount.",Late Payment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, the staff member shall not work in any capacity in the same industry, anywhere in India, for 3 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The Employer may revise terms relating to non-solicitation based on operational requirements with reasonable notice. Clause 422.,Non-Solicitation,Employment Agreement,Caution,"Indian Contract Act, 1872",India
Either party may terminate this Agreement by giving 20 days written notice to the other party.,Notice Period,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, this Agreement may be terminated by the property owner on breach of any term, subject to a 60-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, intellectual property created by the appointee, including outside working hours if related to company business, may be claimed by the Company.",Intellectual Property,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, the security deposit of Rs. 25000/- paid by the Lessee shall be non-refundable under any circumstances.",Security Deposit,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, the Employer may require the Employee to work unlimited hours without additional compensation.",Working Hours,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, either party may terminate this Agreement by giving 60 days written notice to the other party.",Notice Period,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, the management may unilaterally reassign the appointee to any role, location, or department without consent.",Job Role,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, a refundable security deposit of Rs. 10000/- shall be collected and returned within 90 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"This Agreement may be terminated by the property owner on breach of any term, subject to a 60-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Refunds shall be processed within 45 days, subject to deduction of processing charges.",Refund Policy,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"You shall be entitled to gratuity upon completion of 5 years of continuous service as per the Payment of Gratuity Act, 1972.",Gratuity,Employment Agreement,Safe,Payment of Gratuity Act 1972,India
"In accordance with this Agreement, the Employee shall be on probation for 9 months, following which confirmation shall be communicated in writing.",Probation,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, mess charges of Rs. 3000/- per month shall be billed separately and are optional.",Mess Charges,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, salary of Rs. 60000/- is subject to annual review and may be revised at the discretion of the Employer.",Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the monthly rent of Rs. 15000/- shall be paid in advance on or before the 1st of each month.",Rent Payment,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Under this clause, the management is under no obligation to respond to or act upon any grievance raised by the Employee.",Grievance Redressal,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, the appointee shall be on probation for 12 months, following which confirmation shall be communicated in writing.",Probation,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The Employer may unilaterally determine all matters relating to bonus without consultation. Clause 315.,Bonus,Employment Agreement,Risky,"Payment of Bonus Act, 1965",India
"For the purposes of this Agreement, a refundable security deposit of Rs. 60000/- shall be collected and returned within 15 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, the loan recipient shall repay the loan in equal monthly instalments over 12 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the probation period of 3 months may be extended by the Company based on performance review.",Probation,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the occupant shall forfeit the entire security deposit of Rs. 75000/- if the premises are vacated before the 6-month lock-in period.",Lock-in Period,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The monthly rent of Rs. 20000/- shall be paid in advance on or before the 1st of each month.,Rent Payment,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"For the purposes of this Agreement, a lock-in period of 11 months shall apply under this agreement, with early exit permitted on payment of one month's rent as penalty.",Lock-in Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, mess charges may be increased at any time during the tenancy without notice, and residents must pay regardless of usage.",Mess Charges,Hostel/PG Agreement,Risky,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"In accordance with this Agreement, the Company may terminate the Employee with 20 days notice or payment in lieu thereof.",Termination,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, maintenance responsibilities shall be shared between the Landlord and the Lessee as mutually agreed from time to time.",Maintenance,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, a penalty of 3% per day, compounding, shall apply for any delay in rent payment, with no grace period.",Late Payment Penalty,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, cancellation after 60 days shall attract a fee of 5% of the order value.",Cancellation,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Intellectual property created by the appointee, including outside working hours if related to company business, may be claimed by the management.",Intellectual Property,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, salary of Rs. 75000/- is subject to annual review and may be revised at the discretion of the Company.",Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"It is hereby agreed that electricity, water, and maintenance charges shall be borne by the Tenant as per actual meter readings.",Utilities,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, the financial institution may reduce or withhold the sanctioned loan amount of Rs. 1000000/- at any time without explanation.",Loan Amount,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, the Company may revise the job role of the appointee based on operational requirements with reasonable notice.",Job Role,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, damage liability shall be assessed jointly by management and the resident before deduction from deposit.",Damage Liability,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Subject to the terms herein, this arrangement may be terminated by mutual consent with dues cleared up to the date of exit.",Termination,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"In accordance with this Agreement, the monthly EMI shall be calculated on Rs. 50000/- at 10.5% interest, fixed for the loan tenure.",EMI,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the rent of Rs. 12000/- may be revised by the property owner after 3 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, the security deposit of Rs. 25000/- shall be forfeited entirely if the resident vacates before 60 months.",Security Deposit,Hostel/PG Agreement,Risky,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Subject to the terms herein, a refundable security deposit of Rs. 15000/- shall be collected and returned within 15 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
The Employee shall comply with all company policies relating to force majeure. Clause 277.,Force Majeure,Employment Agreement,Safe,"Indian Contract Act, 1872",India
"Subject to the terms herein, the Lessor may impose any renewal terms unilaterally, including rent increases exceeding 50%.",Renewal,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, notice period of 90 days applies, but management may waive it at their discretion.",Notice Period,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, a lock-in period of 6 months shall apply under this agreement, with early exit permitted on payment of one month's rent as penalty.",Lock-in Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, this Agreement may be terminated by the property owner on breach of any term, subject to a 30-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, mess charges of Rs. 3000/- per month shall be billed separately and are optional.",Mess Charges,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Under this clause, this Agreement may be terminated by the Lessor on breach of any term, subject to a 20-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Repair costs shall be assessed jointly by the property owner and the occupant before being apportioned.,Repairs,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, the non-compete restriction applies for 60 months and covers a broad, unspecified range of industries.",Non-Compete,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, maintenance responsibilities shall be shared between the Landlord and the Lessee as mutually agreed from time to time.",Maintenance,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"It is hereby agreed that the security deposit of Rs. 15000/- shall be refunded within 60 days, subject to inspection by the property owner.",Security Deposit,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, mess charges of Rs. 4000/- per month shall be billed separately and are optional.",Mess Charges,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
It is hereby agreed that the Borrower shall repay the loan in equal monthly instalments over 6 months as per the agreed schedule.,Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, a refundable security deposit of Rs. 30000/- shall be collected and returned within 60 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Subject to the terms herein, this Agreement may be terminated by the property owner on breach of any term, subject to a 60-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the Landlord reserves the right to increase the rent at any time without prior notice to the Lessee.",Rent Payment,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, the rent of Rs. 12000/- may be revised by the Landlord after 36 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the Employee is appointed to the stated role effective from the date of joining, as confirmed in writing by the Employer.",Appointment,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
It is hereby agreed that salary of Rs. 150000/- is subject to annual review and may be revised at the discretion of the Employer.,Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, the Lender may revise the interest rate from 18% where permitted by applicable RBI guidelines.",Interest Rate,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the Employee agrees to maintain confidentiality of company information during and for a reasonable period after employment.",Confidentiality,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, a refundable security deposit of Rs. 30000/- shall be collected and returned within 45 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
The notice period for termination after confirmation shall be 60 days for both the Company and the Employee.,Notice Period,Employment Agreement,Safe,Industrial Disputes Act 1947 / Labour Codes 2020,India
"As per the terms of this Agreement, the management may terminate the appointee with 15 days notice or payment in lieu thereof.",Termination,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, the Lender may request additional documentation from the Borrower at any stage of the loan tenure.",Documentation,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, mess charges of Rs. 3000/- per month shall be billed separately and are optional.",Mess Charges,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, the monthly rent of Rs. 40000/- shall be paid in advance on or before the 1st of each month.",Rent Payment,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
It is hereby agreed that utility charges shall be shared between the property owner and the Tenant in a ratio to be determined at move-in.,Utilities,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, the applicable interest rate shall be 14% per annum, fixed for the tenure of the loan.",Interest Rate,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, a refundable security deposit of Rs. 60000/- shall be collected and returned within 90 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
The terms governing emi may change after mutual written agreement. Clause 164.,EMI,Loan Agreement,Caution,RBI Guidelines,India
"In accordance with this Agreement, the Bank may hold the collateral for an additional 45 days after repayment for administrative verification.",Collateral,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, all intellectual property created by the appointee, even unrelated to employment and in personal time, shall belong to the management.",Intellectual Property,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, the monthly rent of Rs. 25000/- shall be paid by the Tenant to the property owner on or before the 5th day of each calendar month.",Rent Payment,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, the monthly EMI shall be calculated on Rs. 1000000/- at 9.5% interest, fixed for the loan tenure.",EMI,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the Lender may revise the interest rate from 9.5% where permitted by applicable RBI guidelines.",Interest Rate,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
It is hereby agreed that either party may end the arrangement with 90 days written notice.,Notice Period,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"As per the terms of this Agreement, the monthly rent of Rs. 8000/- shall be paid in advance on or before the 1st of each month.",Rent Payment,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, in case of default, the loan recipient shall be given 10 days to cure the default before further action.",Default,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, failure to pay rent of Rs. 40000/- within 15 days shall entitle the Landlord to lock the premises without notice.",Rent Payment,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that salary of Rs. 75000/- is subject to annual review and may be revised at the discretion of the Company.,Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The Employer reserves the right to modify procedures concerning health & safety where permitted by law. Clause 104.,Health & Safety,Employment Agreement,Caution,"Occupational Safety, Health and Working Conditions Code, 2020",India
"Under this clause, prepayment before 18 months shall attract a charge of 3% of the outstanding amount.",Prepayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the property owner may impose any renewal terms unilaterally, including rent increases exceeding 10%.",Renewal,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that repair costs shall be assessed jointly by the property owner and the Lessee before being apportioned.,Repairs,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, work product created by the appointee within the scope of employment shall belong to the management, as is standard practice.",Intellectual Property,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, all intellectual property created by the Employee, even unrelated to employment and in personal time, shall belong to the Employer.",Intellectual Property,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The terms governing confidentiality may change after mutual written agreement. Clause 464.,Confidentiality,Loan Agreement,Caution,"Indian Contract Act, 1872",India
"Pursuant to this Agreement, the Bank may revise the interest rate from 10% where permitted by applicable RBI guidelines.",Interest Rate,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, the Bank may reduce or withhold the sanctioned loan amount of Rs. 300000/- at any time without explanation.",Loan Amount,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, the Lender agrees to disburse a loan amount of Rs. 200000/- to the Borrower as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
It is hereby agreed that a refundable security deposit of Rs. 75000/- shall be collected and returned within 7 days of vacating.,Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, repayment terms of 6 months are subject to change by the Lender with reasonable notice.",Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
The Lender may revise conditions relating to taxes where permitted by law. Clause 194.,Taxes,Loan Agreement,Caution,"Income Tax Act, 1961",India
"As per the terms of this Agreement, the Employee may raise grievances through the internal committee, which shall respond within 90 days.",Grievance Redressal,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
It is hereby agreed that the product carries a warranty of 3 months covering manufacturing defects.,Warranty,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Pursuant to this Agreement, the Company may unilaterally reassign the staff member to any role, location, or department without consent.",Job Role,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the monthly rent of Rs. 10000/- shall be paid in advance on or before the 1st of each month.",Rent Payment,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, the management may terminate the appointee with 10 days notice or payment in lieu thereof.",Termination,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, utility charges shall be shared between the Lessor and the Lessee in a ratio to be determined at move-in.",Utilities,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The consumer has the right to return the product within 7 days of delivery for a full refund without assigning any reason.,Return Policy,Consumer Agreement,Safe,Consumer Protection Act 2019 / Indian Contract Act 1872,India
"For the purposes of this Agreement, the probation period of 60 months may be extended by the management based on performance review.",Probation,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the Lender may revise the interest rate from 12% where permitted by applicable RBI guidelines.",Interest Rate,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the staff member shall be bound by confidentiality obligations permanently, with no defined end date, under penalty of legal action.",Confidentiality,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the applicant shall repay the loan in equal monthly instalments over 6 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, the Landlord may terminate this Agreement and demand vacation of premises with less than 90 days notice.",Notice Period,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"The Tenant must obtain written permission from the Landlord before receiving any parcel, courier or mail at the premises.",Mail Restriction,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, repair costs shall be assessed jointly by the property owner and the Lessee before being apportioned.",Repairs,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the occupant shall forfeit the entire security deposit of Rs. 40000/- if the premises are vacated before the 18-month lock-in period.",Lock-in Period,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, either party may terminate this Agreement by providing 45 days written notice.",Termination,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the Company may require the staff member to work unlimited hours without additional compensation.",Working Hours,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, maintenance responsibilities shall be shared between the property owner and the occupant as mutually agreed from time to time.",Maintenance,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Employee may be reassigned regarding training subject to business needs. Clause 377.,Training,Employment Agreement,Caution,"Indian Contract Act, 1872",India
"Subject to the terms herein, the Employer may revise the code of conduct from time to time and the Employee shall be bound by such revisions.",Code of Conduct,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"It is hereby agreed that this Agreement may be terminated by the Landlord on breach of any term, subject to a 7-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that repayment terms of 11 months are subject to change by the Bank with reasonable notice.,Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, late payment shall attract a compounding penalty of 5% per day with no grace period.",Late Payment,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the Bank may reduce or withhold the sanctioned loan amount of Rs. 300000/- at any time without explanation.",Loan Amount,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
